,DOW,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,DAILY_DELAY_LENGTH,DAILY_DELAY_COST,PROFIT
216,Wendsday,1125.0,1127.0,5924.0,187331.85000000003,5893165.58
217,Thursday,1122.0,1130.0,25814.0,525446.1000000001,5935998.199999999
218,Friday,1142.0,1143.0,5660.0,149975.85,5903017.02
219,Saturday,942.0,945.0,3478.0,94847.45,4888537.6
220,Sunday,1101.0,1096.0,5295.0,167932.2,5736222.039999999
221,Monday,1090.0,1132.0,38770.0,631231.5,5865191.98
222,Tuesday,1118.0,1117.0,9790.0,251848.74000000002,5865917.89
223,Wendsday,1122.0,1124.0,4292.0,129345.15000000001,5832461.51
224,Thursday,1139.0,1138.0,8030.0,220647.75000000003,5928790.57
225,Friday,1134.0,1138.0,4857.0,132868.5,5903737.72
226,Saturday,924.0,924.0,10079.0,243592.25,4743015.009999999
227,Sunday,1094.0,1095.0,4814.0,130165.55,5664722.199999999
228,Monday,1108.0,1130.0,36473.0,564500.1000000001,5632225.999999999
229,Tuesday,1060.0,1095.0,36786.0,583574.2600000001,5648123.989999999
230,Wendsday,1110.0,1110.0,21050.0,358716.65,5720249.35
231,Thursday,1119.0,1123.0,19191.0,480194.39999999997,6014699.169999999
232,Friday,1129.0,1130.0,6029.0,166927.55000000002,5865177.449999999
233,Saturday,884.0,883.0,2425.0,81475.70000000001,4564250.27
234,Sunday,1055.0,1085.0,44533.0,731003.12,5725848.029999999
235,Monday,1134.0,1136.0,4988.0,137354.05,5882356.69
236,Tuesday,1113.0,1111.0,3079.0,91069.40000000001,5730564.89
237,Wendsday,1117.0,1120.0,3916.0,108664.85000000002,5763826.25
238,Thursday,1130.0,1130.0,3912.0,108940.85,5815850.549999999
239,Friday,1128.0,1131.0,5310.0,142872.55000000002,5858329.039999999
240,Saturday,836.0,836.0,2311.0,63278.8,4281213.04
241,Sunday,1055.0,1057.0,6339.0,167762.4,5479137.429999999
242,Monday,1135.0,1128.0,4793.0,149975.67,5840358.149999999
243,Tuesday,1104.0,1104.0,2435.0,81928.5,5684689.26
